,topleft,topright,bottomleft,bottomright,radius
0,"{'x': -80.998948125, 'y': 35.02504578125}","{'x': -81.0042510625, 'y': 35.02504578125}","{'x': -80.998948125, 'y': 35.019109890625}","{'x': -81.0042510625, 'y': 35.019109890625}",408.9098040326522
1,"{'x': -81.0042520625, 'y': 35.02504578125}","{'x': -81.009554, 'y': 35.02504578125}","{'x': -81.0042520625, 'y': 35.019109890625}","{'x': -81.009554, 'y': 35.019109890625}",408.88292268209943
2,"{'x': -80.998948125, 'y': 35.019108890625006}","{'x': -81.0042510625, 'y': 35.019108890625006}","{'x': -80.998948125, 'y': 35.013174}","{'x': -81.0042510625, 'y': 35.013174}",408.8752865811487
3,"{'x': -81.0042520625, 'y': 35.019108890625006}","{'x': -81.009554, 'y': 35.019108890625006}","{'x': -81.0042520625, 'y': 35.013174}","{'x': -81.009554, 'y': 35.013174}",408.84839905683276
4,"{'x': -80.98834025, 'y': 35.02504578125}","{'x': -80.9936436875, 'y': 35.02504578125}","{'x': -80.98834025, 'y': 35.019109890625}","{'x': -80.9936436875, 'y': 35.019109890625}",408.9232459462503
5,"{'x': -80.9936446875, 'y': 35.02504578125}","{'x': -80.998947125, 'y': 35.02504578125}","{'x': -80.9936446875, 'y': 35.019109890625}","{'x': -80.998947125, 'y': 35.019109890625}",408.8963629445748
6,"{'x': -80.98834025, 'y': 35.019108890625006}","{'x': -80.9936436875, 'y': 35.019108890625006}","{'x': -80.98834025, 'y': 35.013174}","{'x': -80.9936436875, 'y': 35.013174}",408.8887315817046
7,"{'x': -80.9936446875, 'y': 35.019108890625006}","{'x': -80.998947125, 'y': 35.019108890625006}","{'x': -80.9936446875, 'y': 35.013174}","{'x': -80.998947125, 'y': 35.013174}",408.86184240616427
8,"{'x': -80.998948125, 'y': 35.0369195625}","{'x': -81.0042510625, 'y': 35.0369195625}","{'x': -80.998948125, 'y': 35.030983171875}","{'x': -81.0042510625, 'y': 35.030983171875}",408.91153463601427
9,"{'x': -81.0042520625, 'y': 35.0369195625}","{'x': -81.009554, 'y': 35.0369195625}","{'x': -81.0042520625, 'y': 35.030983171875}","{'x': -81.009554, 'y': 35.030983171875}",408.8846612082266
10,"{'x': -80.998948125, 'y': 35.030982171875}","{'x': -81.0042510625, 'y': 35.030982171875}","{'x': -80.998948125, 'y': 35.02504678125}","{'x': -81.0042510625, 'y': 35.02504678125}",408.87701597868255
11,"{'x': -81.0042520625, 'y': 35.030982171875}","{'x': -81.009554, 'y': 35.030982171875}","{'x': -81.0042520625, 'y': 35.02504678125}","{'x': -81.009554, 'y': 35.02504678125}",408.8501363768313
12,"{'x': -80.98834025, 'y': 35.0369195625}","{'x': -80.9936436875, 'y': 35.0369195625}","{'x': -80.98834025, 'y': 35.030983171875}","{'x': -80.9936436875, 'y': 35.030983171875}",408.92497258806293
13,"{'x': -80.9936446875, 'y': 35.0369195625}","{'x': -80.998947125, 'y': 35.0369195625}","{'x': -80.9936446875, 'y': 35.030983171875}","{'x': -80.998947125, 'y': 35.030983171875}",408.8980975093749
14,"{'x': -80.98834025, 'y': 35.030982171875}","{'x': -80.9936436875, 'y': 35.030982171875}","{'x': -80.98834025, 'y': 35.02504678125}","{'x': -80.9936436875, 'y': 35.02504678125}",408.89045701783925
15,"{'x': -80.9936446875, 'y': 35.030982171875}","{'x': -80.998947125, 'y': 35.030982171875}","{'x': -80.9936446875, 'y': 35.02504678125}","{'x': -80.998947125, 'y': 35.02504678125}",408.8635757649861
16,"{'x': -80.97773287499999, 'y': 35.02504578125}","{'x': -80.98303606249999, 'y': 35.02504578125}","{'x': -80.97773287499999, 'y': 35.019109890625}","{'x': -80.98303606249999, 'y': 35.019109890625}",408.9165248862662
