Population,Per Capita Income,Median Household Income,Household Owner,zip code tabulation area
11518.0,35552.0,70394.0,10571.0,27040
8141.0,23642.0,43081.0,6093.0,27041
3968.0,31169.0,50091.0,3422.0,27050
9752.0,23936.0,39239.0,7097.0,27052
6639.0,25675.0,46250.0,5068.0,27043
1251.0,26101.0,52841.0,1015.0,27047
8062.0,27554.0,47953.0,5853.0,27051
1852.0,26708.0,35750.0,1646.0,27046
1539.0,26526.0,47143.0,1174.0,27016
2926.0,20732.0,34939.0,2296.0,27024
2232.0,20438.0,41833.0,1825.0,27007
1199.0,25116.0,41607.0,1105.0,27022
13005.0,36822.0,77044.0,11138.0,27023
701.0,30313.0,52879.0,479.0,27042
14363.0,33938.0,75962.0,12222.0,27006
7573.0,25841.0,43506.0,5975.0,27018
6112.0,21870.0,37777.0,4674.0,27020
4298.0,20735.0,33040.0,2520.0,27027
36316.0,21438.0,36551.0,25734.0,27030
8511.0,24107.0,50230.0,7254.0,27048
3072.0,22421.0,42115.0,2713.0,27053
5319.0,23954.0,39872.0,4401.0,27011
27376.0,36181.0,80048.0,23351.0,27012
859.0,18973.0,32361.0,352.0,27014
9453.0,22357.0,37938.0,6367.0,27017
9285.0,29098.0,51846.0,7152.0,27045
2656.0,40156.0,78906.0,2577.0,27009
26280.0,23602.0,44609.0,18211.0,27028
2182.0,31518.0,68708.0,1838.0,27054
3750.0,29659.0,53261.0,3234.0,27019
14014.0,25222.0,44362.0,10409.0,27055
5909.0,25938.0,50904.0,4213.0,27013
18217.0,25157.0,47850.0,13760.0,27021
11681.0,26223.0,49823.0,9751.0,27025
40521.0,19722.0,32182.0,19062.0,27105
2456.0,2499.0,-666666666.0,0.0,27109
22024.0,20975.0,32944.0,10441.0,27203
1802.0,15236.0,38962.0,957.0,27212
18702.0,20789.0,29795.0,6696.0,27101
80.0,19583.0,78173.0,45.0,27201
34230.0,25967.0,47478.0,25409.0,27205
2369.0,3034.0,-666666666.0,0.0,27110
35792.0,29201.0,45912.0,18565.0,27103
4415.0,19712.0,38424.0,3391.0,27209
28257.0,33027.0,59714.0,17735.0,27104
47822.0,27419.0,49289.0,26457.0,27106
38963.0,27037.0,46029.0,23879.0,27127
1595.0,22750.0,40969.0,1291.0,27208
40081.0,27072.0,44474.0,24413.0,27215
10706.0,31047.0,61801.0,8849.0,27214
46975.0,23998.0,41057.0,30528.0,27107
3154.0,25500.0,54531.0,2725.0,27207
2118.0,17747.0,28688.0,1514.0,27242
12638.0,26968.0,51271.0,10072.0,27249
24985.0,16329.0,25058.0,8559.0,27260
2804.0,24127.0,47500.0,2319.0,27281
37883.0,25628.0,47918.0,28907.0,27295
3544.0,20840.0,36132.0,1855.0,27229
1780.0,25613.0,59375.0,1446.0,27231
7072.0,26887.0,46683.0,5580.0,27258
3548.0,29271.0,70440.0,3050.0,27233
2376.0,26661.0,54375.0,1912.0,27252
2728.0,31198.0,54680.0,2378.0,27283
50060.0,31194.0,57530.0,32955.0,27265
37270.0,20751.0,38486.0,22158.0,27217
4205.0,37395.0,82931.0,3506.0,27235
14453.0,23511.0,51660.0,8171.0,27244
22196.0,24464.0,43658.0,14466.0,27263
26135.0,31860.0,64624.0,19836.0,27278
23370.0,21258.0,36740.0,14710.0,27288
1807.0,28250.0,55096.0,1353.0,27291
4494.0,22524.0,47878.0,2727.0,27248
17353.0,33090.0,68428.0,12974.0,27282
8896.0,21540.0,47222.0,6975.0,27239
4391.0,31805.0,69732.0,3834.0,27243
29766.0,25526.0,42491.0,20523.0,27253
24252.0,21720.0,39382.0,11171.0,27262
53894.0,31926.0,60085.0,39536.0,27284
39860.0,21674.0,40174.0,23949.0,27292
1109.0,23605.0,65208.0,971.0,27314
7774.0,28115.0,52032.0,5848.0,27357
7285.0,52848.0,108370.0,6732.0,27310
15084.0,38332.0,92624.0,13089.0,27358
10012.0,23642.0,44536.0,7372.0,27298
26.0,-666666666.0,-666666666.0,0.0,27340
31425.0,27427.0,55842.0,20894.0,27332
2963.0,26712.0,42589.0,1981.0,27326
6327.0,23000.0,40340.0,4909.0,27306
3476.0,19533.0,34348.0,2579.0,27311
39532.0,24828.0,48056.0,24959.0,27330
5712.0,22193.0,42431.0,4078.0,27299
19776.0,33891.0,69023.0,15575.0,27312
38724.0,23897.0,41446.0,24871.0,27320
2952.0,22590.0,31209.0,2028.0,27356
1407.0,32262.0,54800.0,1136.0,27343
8514.0,32321.0,60497.0,7534.0,27301
30391.0,31786.0,58115.0,21650.0,27302
6925.0,28917.0,57743.0,5824.0,27313
6575.0,26006.0,44786.0,4919.0,27350
14551.0,25312.0,50021.0,11725.0,27370
1691.0,24360.0,47128.0,1271.0,27305
2114.0,20747.0,40089.0,1688.0,27315
6523.0,19433.0,34821.0,5159.0,27325
18865.0,22075.0,37974.0,10773.0,27344
2470.0,26265.0,50503.0,1943.0,27355
45720.0,24840.0,42261.0,30684.0,27360
7380.0,21038.0,41208.0,4500.0,27316
16215.0,25296.0,41999.0,12246.0,27317
5830.0,20609.0,40811.0,4731.0,27341
5545.0,26988.0,50471.0,4621.0,27349
8848.0,22800.0,41667.0,5179.0,27371
9324.0,30913.0,54986.0,8109.0,27376
22417.0,17853.0,42353.0,9400.0,27403
28514.0,37715.0,70771.0,20378.0,27455
49684.0,26215.0,45668.0,24233.0,27407
61797.0,23827.0,40000.0,33325.0,27406
17307.0,29363.0,42199.0,6375.0,27409
20978.0,28942.0,55760.0,15215.0,27501
18276.0,36523.0,61453.0,13527.0,27408
15435.0,23206.0,42392.0,9916.0,27504
5798.0,18568.0,32325.0,3721.0,27379
38104.0,46188.0,103673.0,30356.0,27502
6056.0,22359.0,79071.0,2547.0,27503
8643.0,29953.0,57399.0,6423.0,27377
21650.0,14590.0,31191.0,6715.0,27401
48541.0,21577.0,33841.0,22564.0,27405
55981.0,36091.0,63980.0,35252.0,27410
4667.0,22806.0,39801.0,3331.0,27544
1434.0,14241.0,31895.0,798.0,27508
11989.0,33418.0,61265.0,9323.0,27522
44970.0,32516.0,75413.0,35205.0,27526
15397.0,28122.0,50155.0,5195.0,27510
6237.0,26161.0,44848.0,4303.0,27521
20838.0,23425.0,47038.0,11701.0,27546
24666.0,21376.0,41713.0,16885.0,27537
11310.0,45690.0,95110.0,8097.0,27523
22798.0,37786.0,83481.0,18298.0,27527
800.0,21224.0,-666666666.0,0.0,27531
24162.0,45747.0,84724.0,16747.0,27517
20506.0,50262.0,105875.0,15181.0,27518
22303.0,44504.0,100099.0,19770.0,27539
52464.0,63640.0,126832.0,40961.0,27519
1544.0,19783.0,43074.0,1155.0,27507
31659.0,19284.0,69380.0,11540.0,27514
4066.0,32848.0,56735.0,3003.0,27541
44491.0,44535.0,88188.0,29675.0,27513
40116.0,31834.0,62343.0,28245.0,27520
14736.0,28529.0,50326.0,10974.0,27525
38928.0,23073.0,37580.0,22014.0,27530
32727.0,26498.0,45487.0,16858.0,27534
16574.0,17033.0,25122.0,6642.0,27536
35890.0,43540.0,96977.0,30507.0,27540
6047.0,15913.0,41069.0,2281.0,27509
6066.0,27249.0,48737.0,3870.0,27505
34916.0,31654.0,72087.0,22241.0,27511
26344.0,30764.0,58866.0,18895.0,27545
41460.0,33941.0,85639.0,26387.0,27516
